Name of Player,Position,Team,Games Played,At Bats,Runs,Hits,Doubles,Triples,HomeRuns,RBI,Walks,Strike Outs,Stolen Bases,Caught Stealing,Average,On Base Percentage,Slugging,On Base plus Slugging
Roman Quinn,CF,PHI,41,108,14,23,3,1,2,7,5,39,12,0,0.213,0.261,0.315,0.576
Harrison Bader,CF,STL,50,106,21,24,7,2,4,11,13,40,3,1,0.226,0.336,0.443,0.779
Lewis Brinson,RF,MIA,47,106,14,24,6,0,3,12,6,30,4,0,0.226,0.268,0.368,0.636
Sam Hilliard,LF,COL,36,105,13,22,2,2,6,10,9,42,3,0,0.21,0.272,0.438,0.71
Joey Bart,C,SF,33,103,15,24,5,2,0,7,3,41,0,0,0.233,0.288,0.32,0.609
Daulton Varsho,CF,ARI,37,101,16,19,5,2,3,9,12,33,3,1,0.188,0.287,0.366,0.653
Tony Wolters,C,COL,42,100,10,23,4,0,0,8,6,30,0,0,0.23,0.28,0.27,0.55
Carter Kieboom,3B,WSH,33,99,15,20,1,0,0,9,17,33,0,1,0.202,0.344,0.212,0.556
Tucker Barnhart,C,CIN,38,98,10,20,3,0,5,13,12,28,0,0,0.204,0.291,0.388,0.679
Josh Fuentes,1B,COL,30,98,14,30,7,0,2,17,2,29,1,0,0.306,0.32,0.439,0.759
Jay Bruce,DH,PHI,32,96,11,19,4,2,6,14,7,24,0,0,0.198,0.252,0.469,0.721
Brock Holt,LF,WSH,36,95,12,20,6,0,0,5,9,24,1,0,0.211,0.283,0.274,0.557
Jorge Alfaro,C,MIA,31,93,12,21,2,0,3,16,4,36,2,0,0.226,0.28,0.344,0.624
David Dahl,CF,COL,24,93,9,17,2,2,0,9,4,28,1,0,0.183,0.222,0.247,0.47
Phil Gosselin,DH,PHI,39,92,14,23,5,0,3,12,10,27,0,0,0.25,0.324,0.402,0.726
Michael A.Taylor,LF,WSH,38,92,11,18,6,0,5,16,6,27,0,0,0.196,0.253,0.424,0.676
Howie Kendrick,DH,WSH,25,91,11,25,4,0,2,14,7,17,0,0,0.275,0.32,0.385,0.705
Kevin Pillar,CF,COL,24,91,14,28,5,1,2,13,5,18,4,1,0.308,0.351,0.451,0.801
Dexter Fowler,RF,STL,31,90,14,21,2,0,4,15,10,28,1,1,0.233,0.317,0.389,0.706
Darin Ruf,LF,SF,40,87,11,24,6,0,5,18,13,23,1,0,0.276,0.37,0.517,0.887
Austin Barnes,C,LAD,29,86,14,21,3,0,1,9,13,24,3,0,0.244,0.353,0.314,0.667
Ke'Bryan Hayes,3B,PIT,24,85,17,32,7,2,5,11,9,20,1,0,0.376,0.442,0.682,1.124
Austin Slater,DH,SF,31,85,18,24,2,1,5,7,16,22,8,1,0.282,0.408,0.506,0.914
Pablo Sandoval,3B,ATL,34,84,5,18,1,0,1,6,8,19,0,0,0.214,0.287,0.262,0.549
Josh Harrison,2B,WSH,33,79,11,22,2,0,3,14,6,12,1,2,0.278,0.352,0.418,0.769
Adam Haseley,CF,PHI,40,79,7,22,5,0,0,13,7,17,0,0,0.278,0.348,0.342,0.69
Jose Osuna,1B,PIT,26,78,6,16,3,0,4,11,4,16,0,1,0.205,0.244,0.397,0.641
Curt Casali,C,CIN,31,76,10,17,3,0,6,8,14,29,2,0,0.224,0.366,0.5,0.866
Edwin Rios,3B,LAD,32,76,13,19,6,0,8,17,4,18,0,0,0.25,0.301,0.645,0.946
Andrew Knapp,C,PHI,33,72,9,20,4,1,2,15,15,19,0,0,0.278,0.404,0.444,0.849
Stephen Vogt,C,ARI,26,72,6,12,5,0,1,7,8,18,0,0,0.167,0.247,0.278,0.525
Nick Senzel,CF,CIN,23,70,8,13,6,0,2,8,6,15,2,1,0.186,0.247,0.357,0.604
Josh VanMeter,2B,ARI,26,70,9,9,3,0,2,6,7,24,1,0,0.129,0.228,0.257,0.485
Tyler Flowers,C,ATL,22,69,5,15,6,0,1,5,8,34,0,0,0.217,0.325,0.348,0.673
Tim Locastro,CF,ARI,33,69,15,20,4,1,2,7,8,14,4,0,0.29,0.395,0.464,0.859
Mitch Moreland,1B,SD,20,69,8,14,5,0,2,8,4,14,0,0,0.203,0.247,0.362,0.609
Elias Diaz,C,COL,26,68,4,16,2,0,2,9,5,15,0,0,0.235,0.288,0.353,0.641
Jose Garcia,SS,CIN,24,67,4,13,0,0,0,2,1,26,1,1,0.194,0.206,0.194,0.4
JT Riddle,3B,PIT,23,67,8,10,2,0,1,1,2,13,1,0,0.149,0.174,0.224,0.398
Kyle Farmer,SS,CIN,32,64,4,17,3,0,0,4,5,13,1,0,0.266,0.329,0.313,0.641
Gavin Lux,2B,LAD,19,63,8,11,2,0,3,8,6,19,1,0,0.175,0.246,0.349,0.596
Austin Nola,C,SD,19,63,9,14,4,0,2,9,9,17,0,0,0.222,0.324,0.381,0.705
Josh Rojas,2B,ARI,17,61,9,11,0,0,0,2,7,16,1,1,0.18,0.257,0.18,0.438
Chadwick Tromp,C,SF,24,61,11,13,1,0,4,10,1,20,0,0,0.213,0.219,0.426,0.645
Starlin Castro,2B,WSH,16,60,9,16,3,1,2,4,3,13,0,0,0.267,0.302,0.45,0.752
Greg Garcia,X,SD,35,60,6,12,3,0,0,11,7,18,1,0,0.2,0.279,0.25,0.529
Adeiny Hechavarria,2B,ATL,27,59,7,15,3,0,0,2,4,12,0,0,0.254,0.302,0.305,0.607
John RyanMurphy,C,PIT,25,58,6,10,2,0,0,2,4,28,0,0,0.172,0.226,0.207,0.433
Daniel Vogelbach,DH,MIL,19,58,13,19,2,0,4,12,8,18,0,0,0.328,0.418,0.569,0.987
Luis Guillorme,2B,NYM,29,57,6,19,6,0,0,9,10,17,2,0,0.333,0.426,0.439,0.865
Austin Hedges,C,SD,29,57,7,9,1,0,3,6,6,18,1,1,0.158,0.258,0.333,0.591
Jazz Chisholm,2B,MIA,21,56,8,9,1,1,2,6,5,19,2,2,0.161,0.242,0.321,0.563
Ty France,X,SD,20,55,9,17,4,0,2,10,5,15,0,0,0.309,0.377,0.491,0.868
Francisco Cervelli,C,MIA,16,53,10,13,2,0,3,7,8,14,1,0,0.245,0.355,0.453,0.808
Cameron Maybin,RF,CHC,18,52,3,13,4,1,0,5,3,12,3,0,0.25,0.304,0.365,0.669
Hunter Pence,DH,SF,17,52,4,5,0,1,2,6,3,15,0,0,0.096,0.161,0.25,0.411
Jarrod Dyson,CF,PIT,21,51,6,8,0,0,0,5,4,10,4,0,0.157,0.218,0.157,0.375
Matt Beaty,1B,LAD,21,50,8,11,1,0,2,5,2,14,0,0,0.22,0.278,0.36,0.638
Jon Jay,RF,ARI,18,50,5,8,1,0,1,4,3,12,0,0,0.16,0.211,0.24,0.45
Matt Adams,DH,ATL,16,49,4,9,2,0,2,9,2,18,0,0,0.184,0.216,0.347,0.563
Todd Frazier,3B,NYM,14,49,5,11,2,0,2,5,1,16,0,0,0.224,0.255,0.388,0.643
Brian Goodwin,CF,CIN,20,49,5,8,2,0,2,5,5,19,4,0,0.163,0.236,0.327,0.563
Jacob Nottingham,C,MIL,20,48,8,9,1,0,4,13,5,20,0,0,0.188,0.278,0.458,0.736
Aristides Aquino,LF,CIN,23,47,7,8,1,0,2,8,6,18,1,0,0.17,0.304,0.319,0.623
Monte Harrison,CF,MIA,32,47,8,8,1,0,1,3,4,26,6,0,0.17,0.235,0.255,0.491
Jace Peterson,RF,MIL,26,45,6,9,1,0,2,5,15,20,1,0,0.2,0.393,0.356,0.749
